date,price
datetime,float
T,
1999-12-15,38.84375
2000-07-27,38.875
2000-07-26,38.875
2000-05-12,38.875
1999-09-30,38.875
1991-11-14,38.875
1991-06-27,38.875
1991-06-26,38.875
1991-06-25,38.875
1991-01-29,38.875
1990-09-05,38.875
1988-01-29,38.875
1985-04-26,38.875
2001-04-10,38.900002
2000-06-29,38.9375
2000-04-06,38.9375
2000-02-01,38.9375
1999-10-26,38.9375
2001-04-05,38.970001
2009-03-05,39
2001-04-03,39
2000-06-28,39
1999-12-13,39
1999-10-21,39
1992-10-15,39
1991-11-07,39
1991-10-22,39
1991-09-03,39
1991-01-28,39
1990-10-12,39
1990-08-28,39
1990-08-03,39
1988-05-27,39
1988-02-02,39
1987-12-09,39
1984-09-24,39
1984-03-13,39
1984-03-01,39
1984-01-31,39
1980-12-11,39
1978-06-22,39
1978-06-01,39
1978-05-22,39
2001-10-17,39.009998
2000-09-20,39.049999
2000-02-09,39.0625
2001-05-09,39.09
2000-07-28,39.125
1991-07-01,39.125
1991-03-04,39.125
1987-12-08,39.125
1984-10-11,39.125
2001-10-25,39.18
2000-04-03,39.1875
2000-02-07,39.1875
2000-02-04,39.1875
2001-05-10,39.200001
2000-12-15,39.200001
2000-09-15,39.200001
1979-11-23,39.24992
1979-11-21,39.24992
2000-08-08,39.25
1999-10-20,39.25
1992-10-14,39.25
1991-08-27,39.25
1991-08-22,39.25
1991-08-21,39.25
1990-10-18,39.25
1990-09-04,39.25
1990-08-31,39.25
1990-08-29,39.25
1988-05-26,39.25
1988-01-14,39.25
1988-01-08,39.25
1984-10-10,39.25
1984-10-03,39.25
1984-02-02,39.25
2001-05-16,39.259998
2000-09-08,39.259998
2000-08-04,39.3125
2000-07-07,39.3125
2000-09-19,39.32
2000-09-12,39.360001
2000-08-07,39.375
2000-04-05,39.375
1991-08-29,39.375
1991-06-19,39.375
1991-03-18,39.375
1991-03-13,39.375
1988-02-01,39.375
1988-01-19,39.375
1985-05-03,39.375
1985-04-25,39.375
1984-10-09,39.375
1984-10-08,39.375
1984-09-25,39.375
1984-01-30,39.375
1980-12-15,39.375038
1980-11-03,39.375038
1979-11-19,39.375038
1978-06-20,39.375038
1978-06-07,39.375038
1978-06-05,39.375038
1978-05-31,39.375038
1978-05-30,39.375038
1978-05-19,39.375038
1978-05-11,39.375038
2000-10-18,39.380001
2000-08-23,39.4375
2000-09-05,39.450001
2001-10-26,39.48
2001-10-23,39.5
2000-05-11,39.5
2000-02-03,39.5
1999-10-25,39.5
1999-10-19,39.5
1992-09-01,39.5
1992-08-21,39.5
1991-03-12,39.5
1990-08-27,39.5
1987-12-28,39.5
1984-02-24,39.5
1980-12-08,39.5
1979-11-20,39.5
1979-11-14,39.5
2001-04-16,39.540001
2001-06-06,39.549999
2000-09-01,39.549999
2000-08-03,39.5625
2000-07-25,39.5625
2000-05-05,39.5625
2000-01-31,39.5625
2001-06-08,39.599998
2001-04-04,39.599998
1978-07-05,39.624962
1978-06-09,39.624962
1978-05-15,39.624962
2000-07-31,39.625
2000-03-24,39.625
1992-09-04,39.625
1992-01-07,39.625
1991-10-15,39.625
1991-08-30,39.625
1991-08-28,39.625
1991-07-03,39.625
1991-06-20,39.625
1991-06-12,39.625
1991-05-13,39.625
1991-03-14,39.625
1990-10-19,39.625
1990-08-10,39.625
1990-08-02,39.625
1988-02-04,39.625
1987-12-29,39.625
1984-10-12,39.625
1984-10-05,39.625
1984-10-01,39.625
2000-08-30,39.630001
2001-05-29,39.639999
2000-07-24,39.6875
2000-04-25,39.6875
2000-02-08,39.6875
2001-10-11,39.700001
2001-06-07,39.700001
2001-05-25,39.720001
2000-07-20,39.75
2000-03-23,39.75
1999-12-22,39.75
1999-12-10,39.75
1992-09-15,39.75
1992-09-08,39.75
1992-08-20,39.75
1991-06-21,39.75
1991-06-18,39.75
1991-01-24,39.75
1988-05-25,39.75
1988-02-08,39.75
1988-01-12,39.75
1987-12-17,39.75
1984-10-04,39.75
1984-03-02,39.75
1980-12-12,39.75
2001-05-30,39.799999
2001-04-12,39.799999
2000-08-24,39.8125
2000-07-03,39.8125
2000-05-09,39.8125
2001-07-10,39.82
2000-09-07,39.82
2000-08-21,39.875
2000-08-01,39.875
1999-10-15,39.875
1992-09-11,39.875
1992-08-19,39.875
1991-10-21,39.875
1991-08-26,39.875
1991-08-16,39.875
1991-08-09,39.875
1991-08-05,39.875
1991-06-10,39.875
1991-06-07,39.875
1991-03-15,39.875
1991-03-06,39.875
1988-02-05,39.875
1988-01-15,39.875
1988-01-11,39.875
1987-12-31,39.875
1987-12-14,39.875
1985-05-07,39.875
1984-10-17,39.875
1984-03-05,39.875
1984-02-27,39.875
2001-06-05,39.889999
2001-04-11,39.889999
2001-01-19,39.91
2000-07-06,39.9375
1999-12-21,39.9375
2001-08-15,39.950001
2001-07-11,39.950001
2000-12-29,39.959999
2001-08-10,39.970001
2001-09-10,39.98
2001-07-06,39.990002
2001-08-09,40
2001-05-31,40
2000-08-18,40
2000-07-19,40
2000-07-11,40
1999-12-23,40
1999-12-17,40
1999-12-09,40
1999-10-22,40
1999-08-20,40
1992-10-13,40
1992-06-22,40
1992-06-19,40
1992-06-18,40
1991-08-14,40
1991-06-13,40
1991-05-10,40
1988-01-18,40
1988-01-13,40
1987-12-15,40
1985-05-21,40
1984-10-16,40
1984-10-15,40
1984-09-26,40
1980-05-06,40
1978-06-30,40
1978-06-08,40
1978-06-06,40
1978-05-12,40
2001-05-23,40.009998
2001-04-17,40.009998
2001-08-21,40.060001
2000-07-21,40.0625
1999-10-18,40.0625
2001-06-04,40.07
2009-03-03,40.080002
2001-10-30,40.099998
